game,std_w,std_func,mean_on_iters,,,game,std_w,std_func,mean_on_iters
nim_15,0,regular_std,1.455,,,nim_15,0,regular_std,1.455
nim_15,0.01,regular_std,1.485,,,nim_15,0.01,regular_std,1.485
nim_15,0.05,regular_std,1.4,,,nim_15,0.05,regular_std,1.4
nim_15,0.1,regular_std,1.465,,,nim_15,0.1,regular_std,1.465
nim_15,0.5,regular_std,1.49,,,nim_15,0.5,regular_std,1.49
nim_15,0,last_res_std,1.48,,,,,,
nim_15,0.01,last_res_std,1.465,,,,,,
nim_15,0.05,last_res_std,1.43,,,,,,
nim_15,0.1,last_res_std,1.445,,,,,,
nim_15,0.5,last_res_std,1.465,,,,,,
nim_50,0,regular_std,1.44,,,,,,
nim_50,0.01,regular_std,1.5,,,,,,
nim_50,0.05,regular_std,1.505,,,,,,
nim_50,0.1,regular_std,1.455,,,game,std_w,std_func,mean_on_iters
nim_50,0.5,regular_std,1.555,,,nim_15,0,last_res_std,1.48
nim_50,0,last_res_std,1.46,,,nim_15,0.01,last_res_std,1.465
nim_50,0.01,last_res_std,1.5,,,nim_15,0.05,last_res_std,1.43
nim_50,0.05,last_res_std,1.48,,,nim_15,0.1,last_res_std,1.445
nim_50,0.1,last_res_std,1.51,,,nim_15,0.5,last_res_std,1.465
nim_50,0.5,last_res_std,1.57,,,,,,
nim_150,0,regular_std,1.495,,,,,,
nim_150,0.01,regular_std,1.465,,,,,,
nim_150,0.05,regular_std,1.505,,,,,,
nim_150,0.1,regular_std,1.485,,,,,,
nim_150,0.5,regular_std,1.49,,,,,,
nim_150,0,last_res_std,1.57,,,,,,
nim_150,0.01,last_res_std,1.5,,,game,std_w,std_func,mean_on_iters
nim_150,0.05,last_res_std,1.525,,,nim_50,0,regular_std,1.44
nim_150,0.1,last_res_std,1.46,,,nim_50,0.01,regular_std,1.5
nim_150,0.5,last_res_std,1.53,,,nim_50,0.05,regular_std,1.505
xo,0,regular_std,1.3075,,,nim_50,0.1,regular_std,1.455
xo,0.01,regular_std,1.3125,,,nim_50,0.5,regular_std,1.555
xo,0.05,regular_std,1.3675,,,,,,
xo,0.1,regular_std,1.325,,,,,,
xo,0.5,regular_std,1.4875,,,,,,
xo,0,last_res_std,1.3175,,,,,,
xo,0.01,last_res_std,1.2925,,,,,,
xo,0.05,last_res_std,1.3225,,,,,,
xo,0.1,last_res_std,1.28,,,,,,
xo,0.5,last_res_std,1.4975,,,,,,
c4,0,regular_std,1.5225,,,,,,
c4,0.01,regular_std,1.525,,,,,,
c4,0.05,regular_std,1.4675,,,,,,
c4,0.1,regular_std,1.56,,,game,std_w,std_func,mean_on_iters
c4,0.5,regular_std,1.545,,,nim_50,0,last_res_std,1.46
c4,0,last_res_std,1.5125,,,nim_50,0.01,last_res_std,1.5
c4,0.01,last_res_std,1.545,,,nim_50,0.05,last_res_std,1.48
c4,0.05,last_res_std,1.5075,,,nim_50,0.1,last_res_std,1.51
c4,0.1,last_res_std,1.56,,,nim_50,0.5,last_res_std,1.57
c4,0.5,last_res_std,1.4775,,,,,,
ot_4,0,regular_std,1.975,,,,,,
ot_4,0.01,regular_std,1.9775,,,,,,
ot_4,0.05,regular_std,1.98,,,,,,
ot_4,0.1,regular_std,1.97,,,,,,
ot_4,0.5,regular_std,1.9925,,,,,,
ot_4,0,last_res_std,1.975,,,,,,
ot_4,0.01,last_res_std,1.975,,,,,,
ot_4,0.05,last_res_std,1.975,,,game,std_w,std_func,mean_on_iters
ot_4,0.1,last_res_std,1.9875,,,nim_150,0,regular_std,1.495
ot_4,0.5,last_res_std,1.98,,,nim_150,0.01,regular_std,1.465
ot_8,0,regular_std,1.4675,,,nim_150,0.05,regular_std,1.505
ot_8,0.01,regular_std,1.475,,,nim_150,0.1,regular_std,1.485
ot_8,0.05,regular_std,1.4875,,,nim_150,0.5,regular_std,1.49
ot_8,0.1,regular_std,1.4575,,,,,,
ot_8,0.5,regular_std,1.5775,,,,,,
ot_8,0,last_res_std,1.5025,,,,,,
